@relation 'WekaExcel-weka.filters.unsupervised.attribute.Remove-R1-2,4'

@attribute Etiquetado {anormal,normal}
@attribute promedioCambioAnterior numeric
@attribute cambio numeric

@data
normal,0.172035,0.058824
normal,0.173996,0
normal,0.173996,0.0625
normal,0.176079,0
normal,0.174888,0.066667
normal,0.177111,0
normal,0.177111,0.071429
normal,0.179492,0
normal,0.178874,0
normal,0.178245,0.076923
normal,0.177925,0
anormal,0.17504,0
normal,0.173758,0
normal,0.173758,0.041667
normal,0.173814,0.043478
normal,0.175263,0
normal,0.173874,0
normal,0.173874,0
normal,0.172425,0.045455
normal,0.17394,0.047619
normal,0.175527,0
anormal,0.174012,0
anormal,0.174012,0
normal,0.172425,0
normal,0.172425,0
normal,0.170758,0
normal,0.169004,0
normal,0.169004,0
normal,0.167152,0.1
normal,0.170485,0
normal,0.170485,0
normal,0.168525,0
normal,0.168525,0
normal,0.166441,0.090909
normal,0.169472,0
normal,0.167249,0
normal,0.167249,0.083333
normal,0.167646,0
normal,0.167646,0.076923
normal,0.17021,0
normal,0.167646,0
normal,0.167646,0.071429
normal,0.170027,0
normal,0.170027,0.066667
normal,0.17086,0
normal,0.169411,0.0625
normal,0.171494,0.058824
normal,0.173455,0
normal,0.173455,0.055556
normal,0.173792,0
normal,0.172205,0.052632
normal,0.173959,0.05
normal,0.175626,0
normal,0.175626,0.047619
normal,0.177213,0
normal,0.177213,0.045455
normal,0.178728,0.043478
normal,0.180177,0
anormal,0.180177,0
anormal,0.176844,0
normal,0.176844,0.019608
normal,0.177498,0.019231
anormal,0.178139,0.019231
anormal,0.17878,0.019231
normal,0.17639,0
normal,0.17639,0.035714
normal,0.177581,0
normal,0.174803,0.034483
normal,0.175953,0
normal,0.173388,0.033333
normal,0.1745,0.032258
normal,0.175575,0
normal,0.173194,0
normal,0.173194,0.03125
normal,0.172013,0
normal,0.172013,0.030303
normal,0.17094,0
normal,0.168979,0.029412
normal,0.16996,0
normal,0.168108,0
normal,0.168108,0
normal,0.166354,0.028571
anormal,0.165639,0.028571
anormal,0.166592,0.028571
normal,0.165957,0
anormal,0.165957,0
anormal,0.164442,0
normal,0.162992,0
normal,0.162992,0.027778
normal,0.163918,0
normal,0.163918,0
normal,0.163265,0
normal,0.162624,0.027027
normal,0.162883,0
normal,0.162242,0
normal,0.162242,0
normal,0.161052,0
normal,0.161052,0
normal,0.159903,0.027778
normal,0.160828,0
normal,0.159717,0
normal,0.158642,0.028571
normal,0.159594,0
anormal,0.159594,0
normal,0.158553,0.03125
normal,0.159594,0.015152
anormal,0.159089,0.015152
anormal,0.159594,0.015152
normal,0.159119,0.03125
normal,0.160161,0
normal,0.160161,0.032258
normal,0.161236,0
normal,0.160284,0.033333
normal,0.160442,0.034483
normal,0.160639,0
normal,0.160639,0.035714
normal,0.16183,0.037037
normal,0.163064,0
normal,0.163064,0.038462
normal,0.163421,0.04
normal,0.164754,0.041667
normal,0.166143,0
normal,0.166143,0.043478
normal,0.166691,0.045455
