@relation 'WekaExcel-weka.filters.unsupervised.attribute.Remove-R1-2,4-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-Cfirst-Llast'

@attribute Etiquetado {anormal,normal}
@attribute promedioCambioAnterior numeric
@attribute cambio numeric

@data
anormal,0.182531,0.015152
anormal,0.169457,0.055556
anormal,0.172897,0.083333
anormal,0.170523,0.035714
anormal,0.171713,0.035714
anormal,0.172904,0.035714
anormal,0.205032,0
anormal,0.197059,0
anormal,0.191163,0
anormal,0.188941,0
anormal,0.193562,0.055556
anormal,0.195414,0.055556
anormal,0.189737,0.166667
anormal,0.187672,0.008929
anormal,0.17031,0.037037
anormal,0.170211,0.037037
anormal,0.161014,0.02
anormal,0.161063,0.02
anormal,0.172365,0
anormal,0.169946,0
anormal,0.180848,0.038462
anormal,0.18213,0.038462
anormal,0.181658,0.086207
anormal,0.172631,0
anormal,0.171116,0
anormal,0.171709,0.089041
anormal,0.163102,0
anormal,0.167792,0.016393
anormal,0.19146,0
anormal,0.211517,0
anormal,0.212193,0
anormal,0.215156,0.2
anormal,0.196219,0.055556
anormal,0.193904,0.055556
anormal,0.195232,0.178571
anormal,0.172205,0
anormal,0.172205,0
anormal,0.175344,0.022727
anormal,0.168246,0
anormal,0.168246,0
anormal,0.169251,0.085714
anormal,0.163658,0.027778
anormal,0.165163,0.014286
anormal,0.16564,0.014286
anormal,0.17292,0.047619
anormal,0.174507,0.047619
anormal,0.178944,0.03125
anormal,0.179509,0.03125
anormal,0.204769,0
anormal,0.194981,0
anormal,0.189983,0
anormal,0.181218,0
anormal,0.171151,0
anormal,0.166984,0
anormal,0.162222,0
anormal,0.182985,0
anormal,0.19234,0.02381
anormal,0.171377,0
anormal,0.169416,0
anormal,0.163356,0
anormal,0.163189,0.045455
anormal,0.164704,0.045455
anormal,0.171402,0.027778
anormal,0.169682,0.027778
anormal,0.172117,0.066667
anormal,0.171561,0.066667
anormal,0.17643,0.026316
anormal,0.177307,0.026316
anormal,0.177234,0.03125
anormal,0.176053,0.03125
anormal,0.175584,0.095588
anormal,0.167301,0
anormal,0.16611,0
anormal,0.164961,0
anormal,0.164961,0
anormal,0.161928,0.038462
anormal,0.167907,0.044444
anormal,0.169388,0.044444
anormal,0.204925,0
anormal,0.197059,0
anormal,0.191163,0
anormal,0.181218,0
anormal,0.171151,0
anormal,0.166984,0
anormal,0.162222,0
anormal,0.165966,0
anormal,0.165966,0
anormal,0.179502,0.121212
anormal,0.181985,0
anormal,0.178158,0.008621
anormal,0.160765,0.04
anormal,0.160863,0.04
anormal,0.164371,0.022222
anormal,0.162931,0.022222
anormal,0.170353,0.1
anormal,0.173686,0.1
anormal,0.175341,0.038462
anormal,0.182965,0
anormal,0.182871,0.057377
anormal,0.171222,0.027778
anormal,0.170591,0
anormal,0.165054,0.032258
anormal,0.167176,0.017544
anormal,0.205032,0
anormal,0.197059,0
anormal,0.194867,0
anormal,0.192645,0
anormal,0.192383,0.058824
anormal,0.18906,0.0625
anormal,0.184774,0.041667
anormal,0.1788,0.095238
anormal,0.18159,0
anormal,0.174127,0
anormal,0.174127,0
anormal,0.171182,0.014286
anormal,0.162911,0
anormal,0.165206,0.014493
anormal,0.164647,0.014493
anormal,0.171631,0
anormal,0.174453,0.03125
anormal,0.175012,0.03125
