@relation 'WekaExcel-weka.filters.unsupervised.attribute.Remove-R1-2,4-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-Cfirst-Lfirst-weka.filters.unsupervised.instance.RemovePercentage-P88.78'

@attribute Etiquetado {anormal,normal}
@attribute promedioCambioAnterior numeric
@attribute cambio numeric

@data
normal,0.198069,0
normal,0.198069,0.166667
normal,0.202342,0
normal,0.201009,0.2
normal,0.206342,0
normal,0.205009,0
normal,0.202803,0
normal,0.201253,0
normal,0.20044,0
normal,0.199627,0
normal,0.198814,0
normal,0.195207,0
normal,0.193247,0
normal,0.193247,0
normal,0.188941,0
normal,0.18656,0
normal,0.18656,0
normal,0.183996,0
normal,0.181218,0
normal,0.178188,0
normal,0.174854,0
normal,0.174854,0
normal,0.171151,0
normal,0.166984,0
normal,0.162222,0
normal,0.156667,0
normal,0.156667,0.142857
normal,0.154762,0.125
normal,0.158929,0
normal,0.158929,0.111111
normal,0.162632,0
normal,0.162632,0.1
normal,0.165966,0
normal,0.165966,0.090909
normal,0.168996,0.083333
normal,0.171774,0
normal,0.171774,0.076923
normal,0.174338,0.071429
normal,0.176719,0
normal,0.176719,0.030303
normal,0.177729,0.029412
normal,0.178709,0.028571
normal,0.179662,0.027778
normal,0.180588,0.054054
normal,0.182389,0.064103
normal,0.186663,0.05
normal,0.18833,0
normal,0.18833,0.047619
normal,0.189917,0.045455
normal,0.191432,0
normal,0.191432,0.130435
normal,0.19578,0.05
normal,0.197446,0.052632
normal,0.199201,0
normal,0.194439,0.055556
normal,0.192124,0
normal,0.192124,0
normal,0.18842,0.058824
normal,0.190381,0
normal,0.187048,0.0625
normal,0.189131,0
normal,0.186101,0.066667
normal,0.185545,0
normal,0.185545,0.071429
normal,0.185362,0
normal,0.182981,0
normal,0.182981,0.076923
normal,0.185545,0
normal,0.185545,0
normal,0.184535,0
normal,0.183555,0.083333
normal,0.18538,0
normal,0.184454,0
normal,0.182653,0
normal,0.180516,0
normal,0.178379,0.090909
normal,0.179743,0
normal,0.179743,0
normal,0.178155,0
normal,0.17664,0
normal,0.17664,0
normal,0.172292,0
normal,0.170626,0
normal,0.168871,0
normal,0.167019,0
normal,0.167019,0
normal,0.165059,0
normal,0.165059,0.045455
normal,0.164491,0.043478
normal,0.16594,0
normal,0.163718,0.041667
normal,0.165106,0.04
normal,0.164059,0.038462
normal,0.165341,0.037037
normal,0.166575,0
normal,0.164011,0
normal,0.164011,0.066667
normal,0.163456,0
normal,0.163456,0.0625
normal,0.165539,0.058824
normal,0.1675,0
normal,0.1675,0.055556
normal,0.166321,0
normal,0.166321,0.052632
normal,0.168076,0.05
normal,0.169743,0
normal,0.169743,0.047619
normal,0.17133,0
normal,0.17133,0.045455
normal,0.172845,0.043478
normal,0.174294,0
normal,0.174294,0.041667
normal,0.175683,0.04
normal,0.177016,0
normal,0.177016,0.038462
normal,0.178299,0.037037
normal,0.178018,0
normal,0.176569,0.035714
normal,0.177759,0
normal,0.17637,0.034483
normal,0.176186,0
normal,0.174904,0.033333
normal,0.174781,0.032258
normal,0.175856,0
normal,0.175856,0
normal,0.175856,0.03125
normal,0.176898,0
normal,0.172592,0.014706
normal,0.171122,0.014493
normal,0.171605,0
normal,0.167998,0.028571
normal,0.167284,0
normal,0.167284,0
normal,0.165697,0
normal,0.165697,0
normal,0.164182,0
normal,0.162732,0.027778
normal,0.163658,0
normal,0.162269,0
normal,0.160936,0
normal,0.160936,0.027027
normal,0.160555,0
normal,0.15932,0
normal,0.15932,0
normal,0.15813,0
normal,0.15813,0
normal,0.156981,0.027778
normal,0.157906,0
normal,0.156795,0
normal,0.15572,0.028571
normal,0.156672,0
normal,0.156672,0.029412
normal,0.158572,0.015385
normal,0.159085,0.015625
